route_candidate_id,endpoint_id,observation_artifact_id,observation_artifact_class,source_kind,model_or_solver_id,assumption_manifest_id,validity_domain,uncertainty_semantics,claim_level,observation_source_artifact,source_geometry_match_level,provided_fields,controls_status,replicate_count,uncertainty_interval_status,pre_registered_rule_status
ROUTE-CAND-001,material_surface_identity,SIM-WET-ROUTE-CAND-001-material_surface_identity,surface_material_metrology_or_process_record,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_material_surface_identity_wet_source.csv,sidewall_specific,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,controls_pass,1,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,ev_sample_panel,SIM-WET-ROUTE-CAND-001-ev_sample_panel,ev_characterization_panel,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_ev_sample_panel_wet_source.csv,sidewall_specific,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,controls_pass,1,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,adhesion_wall_interaction,SIM-WET-ROUTE-CAND-001-adhesion_wall_interaction,wet_wall_interaction_assay,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_adhesion_wall_interaction_wet_source.csv,sidewall_specific,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,clogging_time_series,SIM-WET-ROUTE-CAND-001-clogging_time_series,flow_or_event_time_series,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_clogging_time_series_wet_source.csv,sidewall_specific,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,recovery_flush,SIM-WET-ROUTE-CAND-001-recovery_flush,flush_recovery_protocol_result,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_recovery_flush_wet_source.csv,sidewall_specific,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,wet_pass_probability,SIM-WET-ROUTE-CAND-001-wet_pass_probability,pre_registered_wet_pass_fail_table,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_wet_pass_probability_wet_source.csv,sidewall_specific,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-001,yield_bridge,SIM-WET-ROUTE-CAND-001-yield_bridge,input_output_mass_or_count_balance,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-001_yield_bridge_wet_source.csv,sidewall_specific,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,material_surface_identity,SIM-WET-ROUTE-CAND-002-material_surface_identity,surface_material_metrology_or_process_record,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_material_surface_identity_wet_source.csv,sidewall_specific,substrate_material;surface_treatment;oxide_or_coating_state;surface_charge_or_zeta_context;roughness_rms_nm;contact_angle_or_wetting_context,controls_pass,1,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,ev_sample_panel,SIM-WET-ROUTE-CAND-002-ev_sample_panel,ev_characterization_panel,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_ev_sample_panel_wet_source.csv,sidewall_specific,particle_size_distribution;concentration;buffer;ionic_strength;pH;protein_or_contaminant_context;sample_storage_and_handling,controls_pass,1,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,adhesion_wall_interaction,SIM-WET-ROUTE-CAND-002-adhesion_wall_interaction,wet_wall_interaction_assay,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_adhesion_wall_interaction_wet_source.csv,sidewall_specific,input_count;output_count;wall_exposure_time_s;flow_condition;surface_condition;replicate_id;uncertainty_interval,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,clogging_time_series,SIM-WET-ROUTE-CAND-002-clogging_time_series,flow_or_event_time_series,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_clogging_time_series_wet_source.csv,sidewall_specific,time_s;pressure_or_flow_condition;event_rate_or_current_trace;blockage_definition;reset_or_flush_state;right_censoring_policy,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,recovery_flush,SIM-WET-ROUTE-CAND-002-recovery_flush,flush_recovery_protocol_result,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_recovery_flush_wet_source.csv,sidewall_specific,clog_or_loss_trigger;flush_protocol;post_flush_flow_or_event_recovery;cycle_index;failure_definition;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,wet_pass_probability,SIM-WET-ROUTE-CAND-002-wet_pass_probability,pre_registered_wet_pass_fail_table,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_wet_pass_probability_wet_source.csv,sidewall_specific,pass_fail_rule;route_geometry_id;run_id;sample_id;replicate_id;censoring_policy;confidence_interval;failure_reason,controls_pass,3,uncertainty_interval_present,pre_registered
ROUTE-CAND-002,yield_bridge,SIM-WET-ROUTE-CAND-002-yield_bridge,input_output_mass_or_count_balance,simulation_manifest,sidewall_wet_surface_assumption_materializer_v1,sidewall_extreme_sim_wet_surface_assumptions_v1,nodi_comsol_sidewall_route_candidate_simulation_only,simulation_interval_or_endpoint_assumption_declared,simulation_only,reports/joint_interface_20260701/sidewall_simulation_assumption_sources/ROUTE-CAND-002_yield_bridge_wet_source.csv,sidewall_specific,input_amount;output_amount;collection_window;loss_budget;normalization_basis;uncertainty_interval;replicate_id,controls_pass,3,uncertainty_interval_present,pre_registered
